Comment,Designator,Footprint,LCSC
74LVC2G14,U3,SOT-23-6,C10429
0.1uF,C3,R_0603_1608Metric,C14663
1uF,C1,R_0603_1608Metric,C15849
MCP1703A-SOT89,U1,SOT-89-3,C16106
2.2uF,C2,R_0603_1608Metric,C23630
33,"R1,R2",R_0603_1608Metric,C4184
