Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,R_0603_1608Metric,146.9,-110.2,-90.0,top
C2,2.2uF,R_0603_1608Metric,154.65,-108.7,-90.0,top
C3,0.1uF,R_0603_1608Metric,154.25,-115.575,-90.0,top
J1,In,"PhoenixContact_MCV_1,5_3-G-3.81_1x03_P3.81mm_Vertical",142.4675,-116.8425,90.0,top
J2,Out,"PhoenixContact_MCV_1,5_3-G-3.81_1x03_P3.81mm_Vertical",161.1575,-109.2575,-90.0,top
R1,33,R_0603_1608Metric,146.8,-115.4,-90.0,top
R2,33,R_0603_1608Metric,156.825,-115.7,90.0,top
U1,MCP1703A,SOT-89-3,150.4,-109.35,0.0,top
U2,74LVC1G17,SOT-23-5,150.65,-116.25,180.0,top
