Comment,Designator,Footprint,LCSC
0.1uF,C3,R_0603_1608Metric,C14663
1uF,C1,R_0603_1608Metric,C15849
MCP1703A,U1,SOT-89-3,C16106
2.2uF,C2,R_0603_1608Metric,C23630
33,"R1,R2",R_0603_1608Metric,C4184
74LVC1G17,U2,SOT-23-5,C840096
Out,J2,"PhoenixContact_MCV_1,5_3-G-3.81_1x03_P3.81mm_Vertical",
In,J1,"PhoenixContact_MCV_1,5_3-G-3.81_1x03_P3.81mm_Vertical",
